word,pinyin,start,file
好自为之,"['hao', 'zi', 'wei', 'zhi']",0:09:05.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部03.srt
知无不言,"['zhi', 'wu', 'bu', 'yan']",0:07:12.266000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
言归正传,"['yan', 'gui', 'zheng', 'zhuan']",0:42:56.840000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部14.srt
转眼之间,"['zhuan', 'yan', 'zhi', 'jian']",0:19:25.560000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-15.srt
见势不妙,"['jian', 'shi', 'bu', 'miao']",0:28:50.960000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部06.srt
妙手回春,"['miao', 'shou', 'hui', 'chun']",0:17:22.200000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-45.srt
春风满面,"['chun', 'feng', 'man', 'mian']",0:39:02.800000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-45.srt
面如冠玉,"['mian', 'ru', 'guan', 'yu']",0:39:46.320000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-20.srt
鱼死网破,"['yu', 'si', 'wang', 'po']",0:25:34.100000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
破绽百出,"['po', 'zhan', 'bai', 'chu']",0:17:43.800000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部27.srt
出头之日,"['chu', 'tou', 'zhi', 'ri']",0:43:08.240000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
